t;x;rho;u;e;p
0;0.0139;1;6.32208e-14;2.5;1
0;0.014;1;6.42601e-14;2.5;1
0;0.0141;1;6.54934e-14;2.5;1
0;0.0142;1;6.70065e-14;2.5;1
0;0.0143;1;6.87147e-14;2.5;1
0;0.0144;1;7.0707e-14;2.5;1
0;0.0145;1;7.30278e-14;2.5;1
0;0.0146;1;7.55685e-14;2.5;1
0;0.0147;1;7.86666e-14;2.5;1
0;0.0148;1;8.20906e-14;2.5;1
0;0.0149;1;8.58821e-14;2.5;1
0;0.015;1;9.02832e-14;2.5;1
0;0.0151;1;9.52744e-14;2.5;1
0;0.0152;1;1.00875e-13;2.5;1
0;0.0153;1;1.07048e-13;2.5;1
0;0.0154;1;1.14021e-13;2.5;1
0;0.0155;1;1.21823e-13;2.5;1
0;0.0156;1;1.30568e-13;2.5;1
0;0.0157;1;1.4039e-13;2.5;1
0;0.0158;1;1.51355e-13;2.5;1
0;0.0159;1;1.63444e-13;2.5;1
0;0.016;1;1.77045e-13;2.5;1
0;0.0161;1;1.92024e-13;2.5;1
0;0.0162;1;2.08729e-13;2.5;1
0;0.0163;1;2.27376e-13;2.5;1
0;0.0164;1;2.47946e-13;2.5;1
0;0.0165;1;2.70835e-13;2.5;1
0;0.0166;1;2.96457e-13;2.5;1
0;0.0167;1;3.24744e-13;2.5;1
0;0.0168;1;3.56215e-13;2.5;1
0;0.0169;1;3.91039e-13;2.5;1
0;0.017;1;4.29677e-13;2.5;1
0;0.0171;1;4.72481e-13;2.5;1
0;0.0172;1;5.19991e-13;2.5;1
0;0.0173;1;5.72593e-13;2.5;1
0;0.0174;1;6.30791e-13;2.5;1
0;0.0175;1;6.95273e-13;2.5;1
0;0.0176;1;7.66566e-13;2.5;1
0;0.0177;1;8.45586e-13;2.5;1
0;0.0178;1;9.3285e-13;2.5;1
0;0.0179;1;1.02933e-12;2.5;1
0;0.018;1;1.13603e-12;2.5;1
0;0.0181;1;1.25391e-12;2.5;1
0;0.0182;1;1.38417e-12;2.5;1
0;0.0183;1;1.52805e-12;2.5;1
0;0.0184;1;1.68677e-12;2.5;1
0;0.0185;1;1.86212e-12;2.5;1
0;0.0186;1;2.05566e-12;2.5;1
0;0.0187;1;2.26918e-12;2.5;1
0;0.0188;1;2.50479e-12;2.5;1
0;0.0189;1;2.76457e-12;2.5;1
0;0.019;1;3.05091e-12;2.5;1
0;0.0191;1;3.36664e-12;2.5;1
0;0.0192;1;3.71451e-12;2.5;1
0;0.0193;1;4.09776e-12;2.5;1
0;0.0194;1;4.51986e-12;2.5;1
0;0.0195;1;4.98467e-12;2.5;1
0;0.0196;1;5.49635e-12;2.5;1
0;0.0197;1;6.05953e-12;2.5;1
0;0.0198;1;6.67933e-12;2.5;1
0;0.0199;1;7.36104e-12;2.5;1
0;0.02;1;8.11086e-12;2.5;1
0;0.0201;1;8.93543e-12;2.5;1
0;0.0202;1;9.8418e-12;2.5;1
0;0.0203;1;1.08379e-11;2.5;1
0;0.0204;1;1.19325e-11;2.5;1
0;0.0205;1;1.31348e-11;2.5;1
0;0.0206;1;1.44553e-11;2.5;1
0;0.0207;1;1.59051e-11;2.5;1
0;0.0208;1;1.74967e-11;2.5;1
0;0.0209;1;1.92434e-11;2.5;1
0;0.021;1;2.11599e-11;2.5;1
0;0.0211;1;2.32621e-11;2.5;1
0;0.0212;1;2.55676e-11;2.5;1
0;0.0213;1;2.80955e-11;2.5;1
0;0.0214;1;3.08663e-11;2.5;1
0;0.0215;1;3.3903e-11;2.5;1
0;0.0216;1;3.72301e-11;2.5;1
0;0.0217;1;4.08744e-11;2.5;1
0;0.0218;1;4.48655e-11;2.5;1
0;0.0219;1;4.92351e-11;2.5;1
0;0.022;1;5.40182e-11;2.5;1
0;0.0221;1;5.92525e-11;2.5;1
0;0.0222;1;6.49793e-11;2.5;1
0;0.0223;1;7.12435e-11;2.5;1
0;0.0224;1;7.80938e-11;2.5;1
0;0.0225;1;8.55833e-11;2.5;1
0;0.0226;1;9.37697e-11;2.5;1
0;0.0227;1;1.02716e-10;2.5;1
0;0.0228;1;1.1249e-10;2.5;1
0;0.0229;1;1.23166e-10;2.5;1
0;0.023;1;1.34824e-10;2.5;1
0;0.0231;1;1.47552e-10;2.5;1
0;0.0232;1;1.61445e-10;2.5;1
0;0.0233;1;1.76605e-10;2.5;1
0;0.0234;1;1.93145e-10;2.5;1
0;0.0235;1;2.11185e-10;2.5;1
0;0.0236;1;2.30858e-10;2.5;1
0;0.0237;1;2.52306e-10;2.5;1
0;0.0238;1;2.75683e-10;2.5;1
0;0.0239;1;3.01157e-10;2.5;1
0;0.024;1;3.2891e-10;2.5;1
0;0.0241;1;3.59138e-10;2.5;1
0;0.0242;1;3.92055e-10;2.5;1
0;0.0243;1;4.2789e-10;2.5;1
0;0.0244;1;4.66894e-10;2.5;1
0;0.0245;1;5.09336e-10;2.5;1
0;0.0246;1;5.5551e-10;2.5;1
0;0.0247;1;6.0573e-10;2.5;1
0;0.0248;1;6.6034e-10;2.5;1
0;0.0249;1;7.19708e-10;2.5;1
0;0.025;1;7.84235e-10;2.5;1
0;0.0251;1;8.54351e-10;2.5;1
0;0.0252;1;9.30522e-10;2.5;1
0;0.0253;1;1.01325e-09;2.5;1
0;0.0254;1;1.10309e-09;2.5;1
0;0.0255;1;1.20061e-09;2.5;1
0;0.0256;1;1.30646e-09;2.5;1
0;0.0257;1;1.42132e-09;2.5;1
0;0.0258;1;1.54591e-09;2.5;1
0;0.0259;1;1.68105e-09;2.5;1
0;0.026;1;1.82758e-09;2.5;1
0;0.0261;1;1.98644e-09;2.5;1
0;0.0262;1;2.1586e-09;2.5;1
0;0.0263;1;2.34515e-09;2.5;1
0;0.0264;1;2.54724e-09;2.5;1
0;0.0265;1;2.76612e-09;2.5;1
0;0.0266;1;3.00312e-09;2.5;1
0;0.0267;1;3.25967e-09;2.5;1
0;0.0268;1;3.53734e-09;2.5;1
0;0.0269;1;3.83779e-09;2.5;1
0;0.027;1;4.16281e-09;2.5;1
0;0.0271;1;4.51432e-09;2.5;1
0;0.0272;1;4.89439e-09;2.5;1
0;0.0273;1;5.30526e-09;2.5;1
0;0.0274;1;5.74931e-09;2.5;1
0;0.0275;1;6.2291e-09;2.5;1
0;0.0276;1;6.7474e-09;2.5;1
0;0.0277;1;7.30715e-09;2.5;1
0;0.0278;1;7.91155e-09;2.5;1
0;0.0279;1;8.56398e-09;2.5;1
0;0.028;1;9.2681e-09;2.5;1
0;0.0281;1;1.00278e-08;2.5;1
0;0.0282;1;1.08474e-08;2.5;1
0;0.0283;1;1.17312e-08;2.5;1
0;0.0284;1;1.26842e-08;2.5;1
0;0.0285;1;1.37115e-08;2.5;1
0;0.0286;1;1.48186e-08;2.5;1
0;0.0287;1;1.60115e-08;2.5;1
0;0.0288;1;1.72964e-08;2.5;1
0;0.0289;1;1.86803e-08;2.5;1
0;0.029;1;2.01702e-08;2.5;1
0;0.0291;1;2.17741e-08;2.5;1
0;0.0292;1;2.35001e-08;2.5;1
0;0.0293;1;2.53573e-08;2.5;1
0;0.0294;1;2.73549e-08;2.5;1
0;0.0295;1;2.95033e-08;2.5;1
0;0.0296;1;3.18131e-08;2.5;1
0;0.0297;1;3.4296e-08;2.5;1
0;0.0298;1;3.69644e-08;2.5;1
0;0.0299;1;3.98312e-08;2.5;1
0;0.03;1;4.29107e-08;2.5;1
0;0.0301;1;4.62178e-08;2.5;1
0;0.0302;1;4.97686e-08;2.5;1
0;0.0303;1;5.35799e-08;2.5;1
0;0.0304;1;5.76701e-08;2.5;1
0;0.0305;1;6.20584e-08;2.5;1
0;0.0306;1;6.67655e-08;2.5;1
0;0.0307;1;7.18134e-08;2.5;1
0;0.0308;1;7.72255e-08;2.5;1
0;0.0309;1;8.30267e-08;2.5;1
0;0.031;1;8.92434e-08;2.5;1
0;0.0311;1;9.59039e-08;2.5;1
0;0.0312;1;1.03038e-07;2.5;1
0;0.0313;1;1.10678e-07;2.5;1
0;0.0314;1;1.18858e-07;2.5;1
0;0.0315;1;1.27613e-07;2.5;1
0;0.0316;1;1.36982e-07;2.5;1
0;0.0317;1;1.47006e-07;2.5;1
0;0.0318;1;1.57728e-07;2.5;1
0;0.0319;1;1.69194e-07;2.5;1
0;0.032;1;1.81452e-07;2.5;1
0;0.0321;1;1.94554e-07;2.5;1
0;0.0322;1;2.08555e-07;2.5;1
0;0.0323;1;2.23513e-07;2.5;1
0;0.0324;1;2.39491e-07;2.5;1
0;0.0325;1;2.56552e-07;2.5;1
0;0.0326;1;2.74767e-07;2.5;1
0;0.0327;1;2.94208e-07;2.5;1
0;0.0328;1;3.14955e-07;2.5;1
0;0.0329;1;3.37088e-07;2.5;1
0;0.033;1;3.60695e-07;2.5;1
0;0.0331;1;3.85869e-07;2.5;1
0;0.0332;1;4.12707e-07;2.5;1
0;0.0333;1;4.41312e-07;2.5;0.999999
0;0.0334;1;4.71793e-07;2.5;0.999999
0;0.0335;1;5.04266e-07;2.5;0.999999
0;0.0336;1;5.38853e-07;2.5;0.999999
0;0.0337;1;5.75682e-07;2.5;0.999999
0;0.0338;0.999999;6.14891e-07;2.5;0.999999
0;0.0339;0.999999;6.56622e-07;2.5;0.999999
0;0.034;0.999999;7.01027e-07;2.5;0.999999
0;0.0341;0.999999;7.48267e-07;2.5;0.999999
0;0.0342;0.999999;7.98511e-07;2.5;0.999999
0;0.0343;0.999999;8.51938e-07;2.5;0.999999
0;0.0344;0.999999;9.08734e-07;2.5;0.999999
0;0.0345;0.999999;9.691e-07;2.5;0.999999
0;0.0346;0.999999;1.03324e-06;2.5;0.999999
0;0.0347;0.999999;1.10138e-06;2.5;0.999999
0;0.0348;0.999999;1.17376e-06;2.5;0.999999
0;0.0349;0.999999;1.2506e-06;2.5;0.999999
0;0.035;0.999999;1.33218e-06;2.5;0.999998
0;0.0351;0.999999;1.41876e-06;2.5;0.999998
0;0.0352;0.999999;1.51063e-06;2.5;0.999998
0;0.0353;0.999999;1.60809e-06;2.5;0.999998
0;0.0354;0.999999;1.71145e-06;2.49999;0.999998
0;0.0355;0.999998;1.82105e-06;2.49999;0.999998
0;0.0356;0.999998;1.93723e-06;2.49999;0.999998
0;0.0357;0.999998;2.06036e-06;2.49999;0.999998
0;0.0358;0.999998;2.19083e-06;2.49999;0.999997
0;0.0359;0.999998;2.32904e-06;2.49999;0.999997
0;0.036;0.999998;2.47541e-06;2.49999;0.999997
0;0.0361;0.999998;2.63039e-06;2.49999;0.999997
0;0.0362;0.999998;2.79445e-06;2.49999;0.999997
0;0.0363;0.999997;2.96807e-06;2.49999;0.999996
0;0.0364;0.999997;3.15178e-06;2.49999;0.999996
